     x            y
  1.00   2.00000000
  3.00   4.00000000
  5.00   6.00000000
  7.00   8.00000000
  9.00  10.00000000
 11.00  12.00000000
 13.00  14.00000000
 15.00  16.00000000
 17.00  18.00000000
 19.00  20.00000000
 21.00  22.00000000
 23.00  24.00000000
 25.00  26.00000000
 27.00  28.00000000
 29.00  30.00000000
 31.00  32.00000000
 33.00  34.00000000
 35.00  36.00000000
 37.00  38.00000000
 39.00  40.00000000
 41.00  42.00000000
 43.00  44.00000000
 45.00  46.00000000
 47.00  48.00000000
 49.00  50.00000000
 51.00  52.00000000
 53.00  54.00000000
 55.00  56.00000000
 57.00  58.00000000
 59.00  60.00000000
 61.00  62.00000000
 63.00  64.00000000
 65.00  66.00000000
 67.00  68.00000000
 69.00  70.00000000
 71.00  72.00000000
 73.00  74.00000000
 75.00  76.00000000
 77.00  78.00000000
 79.00  80.00000000
 81.00  82.00000000
 83.00  84.00000000
 85.00  86.00000000
 87.00  88.00000000
 89.00  90.00000000
 91.00  92.00000000
 93.00  94.00000000
 95.00  96.00000000
 97.00  98.00000000
 99.00 100.00000000
  0.10   0.19866933
  0.30   0.38941834
  0.48   0.56464247
  0.64   0.71735609
  0.78   0.84147098
  0.89   0.93203909
  0.96   0.98544973
  1.00   0.99957360
  0.99   0.97384763
  0.95   0.90929743
  0.86   0.80849640
  0.75   0.67546318
  0.60   0.51550137
  0.43   0.33498815
  0.24   0.14112001
  0.04  -0.05837414
 -0.16  -0.25554110
 -0.35  -0.44252044
 -0.53  -0.61185789
 -0.69  -0.75680250
 -0.82  -0.87157577
 -0.92  -0.95160207
 -0.98  -0.99369100
 -1.00  -0.99616461
 -0.98  -0.95892427
 -0.93  -0.88345466
 -0.83  -0.77276449
 -0.71  -0.63126664
 -0.55  -0.46460218
 -0.37  -0.27941550
 -0.18  -0.08308940
  0.02   0.11654920
  0.22   0.31154136
  0.40   0.49411335
  0.58   0.65698660
  0.73   0.79366786
  0.85   0.89870810
  0.94   0.96791967
  0.99   0.99854335
  1.00   0.98935825
  0.97   0.94073056
  0.90   0.85459891
  0.80   0.73439710
  0.66   0.58491719
  0.50   0.41211849
  0.32   0.22288991
  0.12   0.02477543
 -0.08  -0.17432678
 -0.27  -0.36647913
 -0.46  -0.54402111
